subjID	trial	RT	stim_frame	key_response	choice	blockname	condition	stim_file	HSF_emo	LSF_emo	congruence
114192	2	0.9848932	6	e	1	BlockFvN	1	A	2	1	2
114192	6	0.9260564	6	e	1	BlockFvN	1	B	1	2	2
114192	9	0.8540085	6	e	1	BlockFvN	1	B	1	2	2
114192	11	0.8818579	6	e	1	BlockFvN	1	B	1	2	2
114192	12	0.9188752	6	e	1	BlockFvN	1	B	1	2	2
114192	13	0.9067912	6	e	1	BlockFvN	1	B	1	2	2
114192	15	0.9491237	6	f	0	BlockFvN	1	A	2	1	2
114192	16	0.8395533	6	e	1	BlockFvN	1	A	2	1	2
114192	17	1.0066028	6	f	0	BlockFvN	1	A	2	1	2
114192	24	0.8552576	6	f	0	BlockFvN	1	A	2	1	2
114192	51	0.987201	6	e	1	BlockFvN	1	B	1	2	2
114192	55	0.6123108	6	e	1	BlockFvN	1	A	2	1	2
114192	56	0.6594891	6	e	1	BlockFvN	1	B	1	2	2
114192	58	0.9457644	6	e	1	BlockFvN	1	B	1	2	2
114192	59	0.9329329	6	f	0	BlockFvN	1	A	2	1	2
114192	60	0.9666915	6	e	1	BlockFvN	1	B	1	2	2
114192	64	0.6803681	6	e	1	BlockFvN	1	A	2	1	2
114192	65	0.8545452	6	f	0	BlockFvN	1	A	2	1	2
114192	66	0.6843872	6	f	0	BlockFvN	1	A	2	1	2
114192	68	0.6005062	6	e	1	BlockFvN	1	A	2	1	2
114192	69	0.6805445	6	e	1	BlockFvN	1	B	1	2	2
114192	70	0.7088705	6	e	1	BlockFvN	1	B	1	2	2
114192	74	0.6685108	6	e	1	BlockFvN	1	A	2	1	2
114192	75	0.6487782	6	e	1	BlockFvN	1	B	1	2	2
114192	105	0.7675811	6	e	1	BlockFvN	1	A	2	1	2
114192	107	0.7517557	6	e	1	BlockFvN	1	B	1	2	2
114192	109	0.7460233	6	e	1	BlockFvN	1	B	1	2	2
114192	110	0.9639913	6	f	0	BlockFvN	1	A	2	1	2
114192	111	0.7567762	6	e	1	BlockFvN	1	A	2	1	2
114192	113	0.5437455	6	e	1	BlockFvN	1	B	1	2	2
114192	114	0.9773719	6	e	1	BlockFvN	1	A	2	1	2
114192	115	0.6902172	6	e	1	BlockFvN	1	B	1	2	2
114192	119	0.9532976	6	f	0	BlockFvN	1	A	2	1	2
114192	120	0.5401467	6	e	1	BlockFvN	1	B	1	2	2
114192	122	0.9437226	6	f	0	BlockFvN	1	A	2	1	2
114192	123	0.5628062	6	e	1	BlockFvN	1	B	1	2	2
114192	124	0.5948005	6	e	1	BlockFvN	1	B	1	2	2
114192	151	0.8948642	6	f	0	BlockFvN	1	A	2	1	2
114192	153	0.7633494	6	e	1	BlockFvN	1	B	1	2	2
114192	154	0.6781395	6	e	1	BlockFvN	1	B	1	2	2
114192	155	0.8988577	6	e	1	BlockFvN	1	A	2	1	2
114192	157	0.8121541	6	e	1	BlockFvN	1	B	1	2	2
114192	159	0.6285635	6	e	1	BlockFvN	1	A	2	1	2
114192	162	0.9970652	6	f	0	BlockFvN	1	A	2	1	2
114192	163	0.7424192	6	e	1	BlockFvN	1	A	2	1	2
